Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/8/2023 15:02,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-65,11.2,10,69.8,27,0,22111,-1
2/8/2023 15:03,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-58,10.2,10,70.29,27.46,0,8611,-1
2/8/2023 15:03,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-96,12,10,70.02,27.2,0,22627,-1
2/8/2023 15:03,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-66,13.2,10,69.82,27.06,0,22112,-1
2/8/2023 15:04,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-61,12.5,10,70.3,27.48,0,8612,-1
2/8/2023 15:04,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-79,7.8,10,70.12,28.92,0,22766,-1
2/8/2023 15:04,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-58,12,10,69.42,29.47,0,20754,-1
2/8/2023 15:05,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-60,14.2,10,69.42,29.4,0,20755,-1
2/8/2023 15:06,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-79,9.8,10,70.14,28.89,0,22768,-1
2/8/2023 15:06,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-63,11.8,10,69.84,26.98,0,22115,-1
2/8/2023 15:06,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-71,9.2,10,70.02,27.24,0,22630,-1
2/8/2023 15:07,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-60,10.8,10,70.32,27.48,0,8615,-1
2/8/2023 15:07,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-58,11.5,10,69.46,29.34,0,20757,-1
2/8/2023 15:07,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-69,11.2,10,70.02,27.23,0,22631,-1
2/8/2023 15:07,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-65,12.2,10,69.85,26.98,0,22116,-1
2/8/2023 15:08,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-57,8.5,10,70.32,27.45,0,8616,-1
2/8/2023 15:08,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-79,-3.8,10,70.18,28.85,0,22770,-1
2/8/2023 15:08,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-64,11.8,10,69.85,26.97,0,22117,-1
2/8/2023 15:08,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-58,11,10,70.3,27.46,0,8617,-1
2/8/2023 15:10,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-71,8,10,70.05,27.23,0,22634,-1
2/8/2023 15:12,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-63,9,10,69.85,27.02,0,22120,-1
2/8/2023 15:12,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-71,12,10,70,27.23,0,22635,-1
2/8/2023 15:12,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-79,9.2,10,70.23,28.85,0,22774,-1
2/8/2023 15:13,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-76,11.2,10,70.25,28.84,0,22775,-1
2/8/2023 15:13,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-58,11.8,10,69.48,29.32,0,20763,-1
2/8/2023 15:13,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-59,10.8,10,70.34,27.42,0,8621,-1
2/8/2023 15:14,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-84,9.8,10,70.27,28.84,0,22776,-1
2/8/2023 15:14,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-60,11.8,10,70.38,27.42,0,8622,-1
2/8/2023 15:15,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-64,11.8,10,69.87,26.98,0,22123,-1
2/8/2023 15:15,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-57,9,10,69.48,29.34,0,20765,-1
2/8/2023 15:16,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-71,12.8,10,70.09,27.22,0,22639,-1
