time,fCnt,spreading_factor,rssi,snr,crc_status,latitude,longitude,temperature,device_address,anomaly,time_difference,frame_counter_diff,rssi_mean5,snr_mean5,crc_error,cluster,rule_timedif_cluster,time_diff_device,rule_time,time_thresh_device,sf_shift,rule_crc,rule_rssi,rule_snr,rule_fcnt,rule_orphan,rule_sf_change,rule_flag
2025-01-29 15:59:49.257000+00:00,577,9,-115,-9.0,1,47.27381,11.39389,,0089b166,0,-12.758,0.0,-115.0,-9.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:59:45.629000+00:00,398,9,-97,,1,47.26313,11.4312,,0002b318,0,-3.628,0.0,-97.0,,False,0,False,0.0,False,9.970000000000002,,False,False,False,False,False,True,True
2025-01-29 15:58:02.093853+00:00,1083,12,-100,8.25,1,47.36782773242995,11.142325401306154,,0083093c,0,-113.535147,0.0,-100.0,8.25,False,0,False,0.0,False,59.990196712,,False,False,False,False,False,True,True
2025-01-29 15:57:36.123037+00:00,8969,12,-88,11.8,1,46.81451,12.76414,,01ab9d51,0,-565.877122,0.0,-88.0,11.8,False,0,False,0.0,False,117.33835393,,False,False,False,False,False,True,True
2025-01-29 16:00:01.378658+00:00,20465,7,-50,8.8,1,46.81451,12.76414,22.0,01ed9d70,0,-367.015209,0.0,-50.0,8.8,False,0,False,0.0,False,299.78363827800007,,False,False,False,False,False,True,True
2025-01-29 16:02:52.982562+00:00,6176,9,-97,-1.0,1,46.83143,12.77839,,01c134fc,0,-128.479818,0.0,-97.0,-1.0,False,0,False,0.0,False,0.0,,False,False,False,False,True,True,True
2025-01-29 16:01:25.797704+00:00,6926,12,-99,4.25,1,47.169992,11.381807,,01c09753,0,-87.184858,0.0,-99.0,4.25,False,0,False,0.0,False,299.63349756900004,,False,False,False,False,False,True,True
2025-01-29 16:00:42.604330+00:00,12852,12,-111,-0.75,1,47.169967,11.381886,,00eebbcd,0,-343.126805,0.0,-111.0,-0.75,False,0,False,0.0,False,299.646318735,,False,False,False,False,False,True,True
2025-01-29 15:57:24.790627+00:00,12719,12,-111,4.0,1,47.170061,11.381857,,01f97e17,0,-497.759968,0.0,-111.0,4.0,False,0,False,0.0,False,299.50825993200004,,False,False,False,False,False,True,True
2025-01-29 16:01:04.112853+00:00,5102,12,-102,8.25,1,47.169967,11.381886,,00598d84,0,-80.485842,0.0,-102.0,8.25,False,0,False,0.0,False,299.594961144,,False,False,False,False,False,True,True
2025-01-29 15:58:34.633000+00:00,2219,12,-115,-20.0,1,47.25001,11.36923,,0049eb79,0,-449.374709,0.0,-115.0,-20.0,False,0,False,0.0,False,102.125848,,False,False,False,False,False,True,True
2025-01-29 15:58:34.633000+00:00,2219,12,-116,-24.0,1,47.25933,11.3802,,0049eb79,0,0.0,0.0,-115.5,-22.0,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 15:58:34.633000+00:00,2219,12,-112,-21.5,1,47.23051,11.38612,,0049eb79,0,0.0,0.0,-106.4,-11.9,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 15:58:34.633000+00:00,2219,12,-97,-23.0,1,47.18459,11.40491,,0049eb79,0,0.0,0.0,-110.6,-16.4,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 15:58:34.633000+00:00,2219,12,-115,-24.0,1,47.27009,11.41086,,0049eb79,0,0.0,0.0,-111.0,-18.759999999999998,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 15:58:34.633000+00:00,2219,12,-115,-22.0,1,47.27381,11.39388,,0049eb79,0,0.0,0.0,-104.8,-14.1,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 15:58:34.633000+00:00,2219,12,-116,-22.0,1,47.25933,11.3802,,0049eb79,0,0.0,0.0,-105.6,-15.3,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:00:09.974000+00:00,2220,12,-118,-20.2,1,47.23046,11.38615,,0049eb79,0,0.0,0.0,-109.8,-14.040000000000001,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:00:09.974000+00:00,2220,12,-99,-23.0,1,47.26315,11.43119,,0049eb79,0,0.0,0.0,-107.0,-16.44,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:00:09.974000+00:00,2220,12,-113,-21.0,1,47.23046,11.38615,,0049eb79,0,0.0,0.0,-111.8,-20.240000000000002,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:00:09.974000+00:00,2220,12,-60,-21.0,1,47.20887,11.46159,,0049eb79,0,0.0,0.0,-100.8,-15.5,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:01:52.100000+00:00,2221,12,-109,-23.0,1,47.27877,11.40188,,0049eb79,0,0.0,0.0,-102.4,-18.4,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:01:52.100000+00:00,2221,12,-113,-21.0,1,47.28202,11.42095,,0049eb79,0,0.0,0.0,-114.2,-19.759999999999998,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
2025-01-29 16:03:27.441000+00:00,2222,12,-109,-21.0,1,47.27714,11.42716,,0049eb79,0,0.0,0.0,-108.0,-12.09,False,0,False,0.0,False,102.125848,12.0,False,False,True,False,False,False,True
